name,feedUrl
‎Apple Podcasts －《TED Talks Daily》,http://feeds.feedburner.com/TEDTalks_audio
‎Apple Podcasts －《The Penguin Podcast》,http://rss.acast.com/thepenguinpodcast
‎Apple Podcasts －《聽聽芳香  台灣芳療協會》,https://www.tw-aa.org/TWAAPodcast/feed.xml
‎Apple Podcasts －《The Sister Diary》,https://sisterdiarydm.libsyn.com/rss
‎Apple Podcasts －《光說不設計》,https://open.firstory.me/rss/user/ck7pj8m1ajal5087371m5v031
‎Apple Podcasts －《Nosy Crow Stories Aloud》,http://nosycrow.podomatic.com/rss2.xml
‎Apple Podcasts －《Method Podcast from Google Design》,https://googledesignmethod.libsyn.com/rss
‎Apple Podcasts －《The Guardian Books podcast》,https://www.theguardian.com/books/series/books/podcast.xml
‎Apple Podcasts －《一个人睡前听【一个人听的晚安电台】》,http://www.ximalaya.com/album/3834364.xml
‎Apple Podcasts －《UI Breakfast: UI/UX Design and Product Strategy》,https://feeds.simplecast.com/4MvgQ73R
‎Apple Podcasts －《Japanese Classical Literature Audiobooks》,http://feeds.feedburner.com/JapaneseClassicalLiteratureAtBedtime
‎Apple Podcasts －《大樹教練》,http://rss.lizhi.fm/rss/10532.xml
‎Apple Podcasts －《Investigates》,https://rss.acast.com/investigates
‎Apple Podcasts －《Southern Fried True Crime》,https://www.spreaker.com/show/2975465/episodes/feed
‎Apple Podcasts －《Fashion No Filter》,http://fry.positive-dedicated.net/podcastgen/feed.xml
‎Apple Podcasts －《Here & Now》,https://feeds.npr.org/510051/podcast.xml
‎Apple Podcasts －《大内密谈》,http://rss.lizhi.fm/rss/14275.xml
‎Apple Podcasts －《字谈字畅》,https://www.thetype.com/typechat/feed/
‎Apple Podcasts －《寶島少年兄 Podcast》,http://pingyuant001.podomatic.com/rss2.xml
‎Apple Podcasts －《The JJ Redick Podcast》,https://rss.art19.com/the-jj-redick-podcast
‎Apple Podcasts －《伍樓室友》,https://open.firstory.me/rss/user/ck4v2m8m6fhlg0b26fo5il5yc
‎Apple Podcasts －《MSNBC Rachel Maddow (video)》,http://podcastfeeds.nbcnews.com/drone/api/query/audio/podcast/1.0/MSNBC-MADDOW-NETCAST-M4V.xml
‎Apple Podcasts －《Films — Affairs》,http://feeds.feedburner.com/monocle_a
‎Apple Podcasts －《Book of Basketball 2.0》,https://rss.art19.com/the-book-of-basketball-podcast
‎Apple Podcasts －《Post Reports》,https://podcast.posttv.com/itunes/post-reports.xml
‎Apple Podcasts －《Behind the Money》,https://rss.acast.com/behindthemoney
‎Apple Podcasts －《The Elective Rotation: A Critical Care Hospital Pharmacy Podcast》,https://www.pharmacyjoe.com/series/the-elective-rotation-podcast/feed/
‎Apple Podcasts －《La Terre au carré》,http://radiofrance-podcast.net/podcast09/rss_10212.xml
‎Apple Podcasts －《Core EM - Emergency Medicine Podcast》,https://coreem.net/podcast/feed/core-em-podcast/
‎Apple Podcasts －《Mental Health and Psychiatry (Audio)》,https://podcast.uctv.tv/uctv_mentalhealth.rss
‎Apple Podcasts －《行列のできる訪問看護ステーション - FM79.7MHz京都三条ラジオカフェ：放送》,http://radiocafe.jp/201006001/xml.php?blog_id=26&t=episodes&podcast=1
‎Apple Podcasts －《TALK ABOUT GAY SEX podcast》,http://talkaboutgaysex.libsyn.com/rss
‎Apple Podcasts －《Enterprise Security Weekly (Video)》,http://eswvideo.swsgtv.libsynpro.com/rss
‎Apple Podcasts －《Cyber Security Today》,http://cybersecuritytoday.libsyn.com/rss
‎Apple Podcasts －《FOAMcast -  Emergency Medicine Core Content》,http://foamcast.libsyn.com/rss
‎Apple Podcasts －《Gayish Podcast》,https://gayishpodcast.podbean.com/feed.xml
‎Apple Podcasts －《The CEDIA Podcast》,http://cedia.libsyn.com/rss
"‎Apple Podcasts －《""Earn That Body"" with Kim Eagle》",http://feeds.soundcloud.com/users/soundcloud:users:148456641/sounds.rss
‎Apple Podcasts －《JAMA Professionalism: Best Practice》,http://jamaprofessionalism.jamanetwork.libsynpro.com/rss
‎Apple Podcasts －《JAMA Network》,http://jamanetwork.net.libsyn.com/rss2
‎Apple Podcasts －《Ultrasound Podcast》,https://ultrasoundpodcast.libsyn.com/rss
‎Apple Podcasts －《Simple Kind of ED (SKED)》,http://podcast.simplekindofed.com/rss
‎Apple Podcasts －《RoshCast EM Board Review》,https://www.roshreview.com/feed/podcast/
‎Apple Podcasts －《Recorded Future - Inside Threat Intelligence for Cyber Security》,https://recordedfuture.libsyn.com/rss
‎Apple Podcasts －《Millennial Minimalists》,https://millennialminimalists.podbean.com/feed.xml
‎Apple Podcasts －《Therapy Chat》,http://baltimoreannapolispsychotherapypodcast.libsyn.com/rss
‎Apple Podcasts －《New Age Yoga Music for Relaxation》,http://www.skivamusic.com/radio/Relax-With-New-Age-Music-Free-Podcast/feed.xml
